type,size,duration,sorted
sequential,980000,0.596,true
parallel,980000,0.177,true
sequential,990000,0.608,true
parallel,990000,0.218,true
sequential,1000000,0.614,true
parallel,1000000,0.182,true
sequential,1100000,0.738,true
parallel,1100000,0.237,true
sequential,1200000,0.862,true
parallel,1200000,0.304,true
sequential,1300000,0.998,true
parallel,1300000,0.326,true
sequential,1400000,1.144,true
parallel,1400000,0.39,true
sequential,1500000,1.301,true
parallel,1500000,0.393,true
sequential,1600000,1.464,true
parallel,1600000,0.416,true
sequential,1700000,1.657,true
parallel,1700000,0.532,true
sequential,1800000,1.826,true
parallel,1800000,0.576,true
sequential,1900000,2.028,true
parallel,1900000,0.834,true
sequential,2000000,2.259,true
parallel,2000000,0.682,true
sequential,2100000,2.447,true
parallel,2100000,0.718,true
sequential,2200000,2.677,true
parallel,2200000,0.871,true
sequential,2300000,2.973,true
parallel,2300000,0.891,true
sequential,2400000,3.164,true
parallel,2400000,0.975,true
sequential,2500000,3.421,true
parallel,2500000,1.263,true
sequential,2600000,3.708,true
parallel,2600000,1.116,true
sequential,2700000,3.974,true
parallel,2700000,1.203,true
sequential,2800000,4.255,true
parallel,2800000,1.225,true
sequential,2900000,4.546,true
parallel,2900000,1.515,true
sequential,3000000,4.851,true
parallel,3000000,1.427,true
sequential,3100000,5.168,true
parallel,3100000,1.683,true
sequential,3200000,5.489,true
parallel,3200000,1.607,true
sequential,3300000,5.836,true
parallel,3300000,1.917,true
sequential,3400000,6.173,true
parallel,3400000,1.786,true
sequential,3500000,6.536,true
parallel,3500000,2.086,true
sequential,3600000,6.9,true
parallel,3600000,2.106,true
sequential,3700000,7.323,true
parallel,3700000,2.132,true
sequential,3800000,7.695,true
parallel,3800000,2.358,true
sequential,3900000,8.081,true
parallel,3900000,2.519,true
sequential,4000000,8.481,true
parallel,4000000,2.697,true
sequential,4100000,8.986,true
parallel,4100000,2.801,true
sequential,4200000,9.302,true
parallel,4200000,2.98,true
sequential,4300000,9.748,true
parallel,4300000,2.886,true
sequential,4400000,10.244,true
parallel,4400000,3.024,true
sequential,4500000,10.778,true
parallel,4500000,3.064,true
sequential,4600000,11.123,true
parallel,4600000,3.443,true
sequential,4700000,11.657,true
parallel,4700000,3.532,true
sequential,4800000,14.062,true
parallel,4800000,7.345,true
sequential,4900000,14.431,true
parallel,4900000,4.128,true
sequential,5000000,14.977,true
parallel,5000000,4.771,true
sequential,5100000,14.936,true
parallel,5100000,5.352,true
sequential,5200000,15.31,true
parallel,5200000,4.723,true
sequential,5300000,16.421,true
parallel,5300000,4.775,true
sequential,5400000,16.714,true
parallel,5400000,5.557,true
sequential,5500000,17.007,true
parallel,5500000,5.639,true
sequential,5600000,18.05,true
parallel,5600000,6.066,true
sequential,5700000,18.921,true
parallel,5700000,5.526,true
sequential,5800000,19.744,true
parallel,5800000,5.875,true
sequential,5900000,20.524,true
parallel,5900000,6.461,true
sequential,6000000,22.155,true
parallel,6000000,7.578,true
sequential,6100000,22.732,true
parallel,6100000,7.022,true
sequential,6200000,24.351,true
parallel,6200000,7.246,true
sequential,6300000,24.433,true
parallel,6300000,7.949,true
sequential,6400000,25.358,true
parallel,6400000,7.594,true
sequential,6500000,27.374,true
parallel,6500000,8.898,true
sequential,6600000,27.878,true
parallel,6600000,9.138,true
sequential,6700000,29.496,true
parallel,6700000,9.017,true
sequential,6800000,30.453,true
parallel,6800000,9.748,true
sequential,6900000,30.636,true
parallel,6900000,10.835,true
sequential,7000000,30.574,true
parallel,7000000,10.718,true
sequential,7100000,32.957,true
parallel,7100000,12.018,true
sequential,7200000,35.335,true
parallel,7200000,12.078,true
sequential,7300000,32.724,true
parallel,7300000,11.781,true
sequential,7400000,36.96,true
parallel,7400000,10.385,true
sequential,7500000,34.142,true
parallel,7500000,10.255,true
sequential,7600000,34.855,true
parallel,7600000,11.279,true
sequential,7700000,36.351,true
parallel,7700000,8.097,true
sequential,7800000,31.321,true
parallel,7800000,10.146,true
sequential,7900000,32.259,true
parallel,7900000,8.48,true
sequential,8000000,33.068,true
parallel,8000000,9.09,true
sequential,8100000,33.795,true
parallel,8100000,11.101,true
sequential,8200000,34.537,true
parallel,8200000,9.509,true
sequential,8300000,35.49,true
parallel,8300000,10.465,true
sequential,8400000,36.35,true
parallel,8400000,10.575,true
sequential,8500000,37.379,true
parallel,8500000,10.719,true
sequential,8600000,38.076,true
parallel,8600000,11.441,true
sequential,8700000,38.998,true
parallel,8700000,10.425,true
sequential,8800000,40.092,true
parallel,8800000,11.301,true
sequential,8900000,40.776,true
parallel,8900000,12.253,true
sequential,9000000,41.634,true
parallel,9000000,11.639,true
sequential,9100000,42.64,true
parallel,9100000,11.642,true
sequential,9200000,43.465,true
parallel,9200000,11.774,true
sequential,9300000,44.669,true
parallel,9300000,13.178,true
sequential,9400000,45.381,true
parallel,9400000,12.347,true
sequential,9500000,46.306,true
parallel,9500000,13.382,true
sequential,9600000,47.404,true
parallel,9600000,12.88,true
sequential,9700000,48.367,true
parallel,9700000,13.923,true
sequential,9800000,48.991,true
parallel,9800000,13.717,true
sequential,9900000,50.323,true
parallel,9900000,14.74,true
sequential,10000000,51.311,true
parallel,10000000,14.964,true
